24920,265.16,210.49
15550,248.51,245.83
44671,236.9,238.13
7246,280.26,245.46
5790,261.24,249.75
23554,279.5,226.69
24821,260.15,262.38
1580,213.31,237.93
5010,255.73,197.23
1934,309.59,283.61
1446,180.72,263.9
23647,261.99,265.1
3761,210.23,262.16
6454,290.64,185.26
4267,220.97,209.62
5973,234.22,227.77
4419,255.46,206.08
4905,324.79,243.21
6308,221.48,210.8
1237,200.79,212.26
5908,272.68,200.54
5435,230.59,206.12
4462,237.84,216.99
4905,247.63,208.6
18816,266.76,269.03
21846,283.21,231.94
12443,246.86,246.36
40226,248.25,235.97
10565,226.9,225.71
34432,245.01,243.27
9332,237.61,224.71
6714,263.45,269.07
8351,262.14,238.46
7243,251.48,256.68
6182,256.65,247.55
5256,234.13,257.69
7315,252.97,229.82
2037,246.02,280.87
1231,223.25,251.51
2807,246.38,262.99
1516,228.38,293.69
1794,232.32,305.91
1637,243.38,297.97
1073,254.27,309.01
1230,258.48,310.45
1168,249.99,287.16
1912,247.76,296.3
3242,247.08,304.42
2469,239.94,306.46
9104,243.64,297.24
4408,245.79,300.36
2641,241.32,304.59
3035,256.51,305.79
3730,237.23,306.12
4043,239.4,303.7
4824,227.86,304.58
4376,234.85,306.29
4075,226.07,306.3
6214,223.67,299.62
4874,225.35,305.65
4700,238.12,303.56
5349,220.81,302.69
4498,231.98,305.72
4415,240.82,301.9
4900,239.98,304.59
4519,244.73,302.61
4837,240.5,301.72
6148,237.3,299.06
5786,250.61,299.47
5797,227.49,297.25
5231,233.5,295.33
7281,213.51,301.97
6662,215.95,296.62
7800,220.81,295.28
8590,219.34,293.53
7794,224.56,294.26
7206,229.88,293.31
5503,231.84,293.84
5906,243.01,281.41
3958,251.79,293.36
4362,246.91,287.06
3503,246.9,283.38
3704,252.61,279.57
3569,260.83,289.42
2941,238.35,285.32
3544,238.83,293.43
3826,221.31,292.45
5866,209.86,289.71
6357,227.75,290.63
5804,239.86,276.65
6155,245.11,273.59
5967,248.48,279.54
6688,247.86,276.61
5810,228.64,279.06
5182,234.15,286.64
4255,241,284.72
4125,228.98,284.74
4520,240.82,282.37
5413,237.49,282.3
6328,253.76,276.6
5725,236.34,278
6814,232.23,278.78
8144,227.2,276.85
9409,233.08,274.65
9761,227.99,273.49
9129,252.26,267.01
10406,260.11,267.62
12967,262.29,262.7
13598,265.5,265.4
16426,261.7,265.23
16730,270.03,265.33
19465,259.79,262.5
22100,261.52,262.73
22121,259.68,260.18
23072,259.27,257.37
21510,265.33,254.35
20279,254.64,252.58
18582,254.72,250.02
17413,252.36,247.53
14192,247.84,246.17
13980,246.87,244.03
12256,244.78,241.72
10941,258.27,239.56
10229,261.49,237.1
10432,286.05,237.83
